DateTime,Item,Category,Quantity_Sold,Price,Total_Sales,School_Holiday,Time_of_Day
3/1/2024 13:00,Hot Chocolate (M),Hot Drinks,5,5.9,29.5,FALSE,Afternoon
3/1/2024 17:00,3 Chicken Nuggets + Chips,Little Buddy Favourites,1,6.9,6.9,FALSE,Evening
3/1/2024 10:00,Chicken Schnitzel,Craft Lunch,5,16.9,84.5,TRUE,Morning
3/1/2024 17:00,Sweet Potato Chips (S),Family Favourites,4,7.9,31.6,FALSE,Evening
3/1/2024 13:00,Hot Chips (S),Family Favourites,2,5.9,11.8,FALSE,Afternoon
3/1/2024 10:00,Wedges (S),Family Favourites,4,7.9,31.6,FALSE,Morning
3/1/2024 17:00,Angus Beef Burger,Gourmet Burgers,5,12.9,64.5,TRUE,Evening
3/1/2024 10:00,Angus Beef Burger,Gourmet Burgers,3,12.9,38.7,FALSE,Morning
3/1/2024 13:00,Wedges (L),Family Favourites,4,9.9,39.6,FALSE,Afternoon
3/1/2024 10:00,Wedges (L),Family Favourites,3,9.9,29.7,FALSE,Morning
3/1/2024 13:00,Banana Bread,Craft Breakfast,2,6.5,13,FALSE,Afternoon
3/2/2024 13:00,3 Chicken Nuggets + Chips,Little Buddy Favourites,4,6.9,27.6,TRUE,Afternoon
3/2/2024 10:00,Hot Chocolate (M),Hot Drinks,1,5.9,5.9,FALSE,Morning
3/2/2024 17:00,Fish Burger,Gourmet Burgers,4,12.9,51.6,FALSE,Evening
3/2/2024 17:00,Milkshake (Large),Cold Drinks,2,8.9,17.8,FALSE,Evening
3/2/2024 10:00,House Made Roll,Craft Lunch,5,15.9,79.5,FALSE,Morning
3/2/2024 10:00,Sweet Potato Chips (L),Family Favourites,3,9.9,29.7,FALSE,Morning
3/2/2024 10:00,Chai Latte (S),Hot Drinks,1,4.9,4.9,FALSE,Morning
3/2/2024 17:00,Raisin Toast,Craft Breakfast,4,5.9,23.6,TRUE,Evening
3/2/2024 17:00,House Made Wrap,Craft Lunch,2,9.9,19.8,FALSE,Evening
3/2/2024 10:00,Chai Latte (S),Hot Drinks,5,4.9,24.5,FALSE,Morning
3/2/2024 17:00,Chai Latte (S),Hot Drinks,1,4.9,4.9,TRUE,Evening
3/3/2024 10:00,Hot Chocolate (M),Hot Drinks,3,5.9,17.7,FALSE,Morning
3/3/2024 17:00,3 Fish Fingers + Chips,Little Buddy Favourites,3,8.9,26.7,FALSE,Evening
3/3/2024 10:00,3 Fish Fingers + Chips,Little Buddy Favourites,1,8.9,8.9,FALSE,Morning
3/3/2024 17:00,Raisin Toast,Craft Breakfast,5,5.9,29.5,FALSE,Evening
3/3/2024 13:00,Ice Chocolate (Regular),Cold Drinks,1,8.9,8.9,FALSE,Afternoon
3/3/2024 17:00,Chicken Strips (1),Little Buddy Favourites,2,4,8,TRUE,Evening
3/3/2024 13:00,Iced Coffee (Regular),Cold Drinks,5,7.9,39.5,TRUE,Afternoon
3/3/2024 10:00,Ham & Cheese Croissant,Craft Breakfast,5,7.9,39.5,FALSE,Morning
3/3/2024 17:00,Iced Coffee (Regular),Cold Drinks,2,7.9,15.8,TRUE,Evening
3/3/2024 10:00,Veggie Burger,Gourmet Burgers,3,12.9,38.7,TRUE,Morning
3/3/2024 17:00,Sweet Potato Chips (S),Family Favourites,3,7.9,23.7,FALSE,Evening
3/3/2024 10:00,Hot Chips (L),Family Favourites,2,7.9,15.8,FALSE,Morning
3/3/2024 10:00,Chicken Schnitzel,Craft Lunch,1,16.9,16.9,TRUE,Morning
3/4/2024 13:00,Sweet Potato Chips (L),Family Favourites,2,9.9,19.8,FALSE,Afternoon
3/4/2024 13:00,Hot Chocolate (M),Hot Drinks,5,5.9,29.5,FALSE,Afternoon
3/4/2024 10:00,Veggie Burger,Gourmet Burgers,2,12.9,25.8,TRUE,Morning
3/4/2024 17:00,Chai Latte (S),Hot Drinks,5,4.9,24.5,FALSE,Evening
